Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
29 Cnc,,29,,71555,41578.0,08h 28m 37.35s,+14° 12′ 39.1″,5.94,1.07,308.0,A5V,,A5 V,7727.0 K,2.3 M☉,1.9 R☉,44.8 L☉,,117.0 km/s,,False
75 Cnc,,75,,78418,44892.0,09h 08m 47.42s,+26° 37′ 48.0″,5.95,3.47,102.0,G5IV,,G5 IV-V,6000.0 K,24.0 )M☉,,,,,,False
1 LMi,,(1),,73192,42365.0,08h 38m 19.00s,+32° 48′ 07.3″,5.96,0.70,367.0,K2III:,,,,,,,,,,False
55 Cnc,ρ1,55,,75732,43587.0,08h 52m 36.13s,+28° 19′ 53.0″,5.96,5.47,41.0,G8V,"Copernicus, binary star; has five planets (b, c, d, e, f)",K0IV–V,5172.0 K,0.905 M☉,0.98 R☉,0.617 L☉,4.41 cgs,38.8 days,8.6 Gyr,False
μ1 Cnc,μ1,9,BL,66875,39659.0,08h 06m 18.40s,+22° 38′ 07.8″,5.97,−0.45,626.0,M3III,"semiregular variable, Vmax = 5.97m, Vmin = 6.04m",M3 III,3744.0 K,,56.5 R☉,565.0 L☉,0.441 cgs,,,False
5 Cnc,,5,,65873,39236.0,08h 01m 30.29s,+16° 27′ 19.2″,5.99,0.19,472.0,B9.5Vn,,B9.5 Vn,9727.0 K,2.93 M☉,3.1 R☉,121.1 L☉,4.5 cgs,188.0 km/s,36.0 Myr,False
79 Cnc,,79,,78715,45033.0,09h 10m 20.86s,+21° 59′ 47.1″,6.04,0.49,420.0,G8III,,G5 III,5076.0 K,2.3 M☉,9.41 R☉,57.6 L☉,2.88 cgs,,770.0 Myr,False
RS Cnc,,,RS,78712,45058.0,09h 10m 38.81s,+30° 57′ 47.6″,6.04,0.61,397.0,M6S,"Technetium star; semiregular variable, Vmax = 5.33m, Vmin = 6.94m, P = 242.2 d",M6S,3200.0 K,,225.0 R☉,4950.0 L☉,,,,False
28 Cnc,,28,CX,71496,41574.0,08h 28m 36.80s,+24° 08′ 42.2″,6.05,1.45,271.0,F0Vn,"δ Sct variable, ΔV = 0.025m, P = 0.096 d",F0 Vn,7516.0 K,2.36 M☉,3.7 R☉,44.0 L☉,3.61 cgs,133.0 km/s,737.0 Myr,False
67 Cnc,,67,,77190,44342.0,09h 01m 48.88s,+27° 54′ 10.0″,6.07,2.23,191.0,A8Vn,suspected variable,A8 Vn,7982.0 K,1.89 M☉,1.9 R☉,10.465 L☉,4.35 cgs,105.0 km/s,867.0 Myr,False
21 Cnc,,21,,70734,41163.0,08h 23m 55.21s,+10° 37′ 55.6″,6.11,−1.56,1113.0,M2III,suspected variable,M2III,3885.0 K,,53.0 R☉,587.0 L☉,,,,False
