Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
25 Ari,,(25),249.0,,15228.0,11427.0,02h 27m 23.56s,+10° 11′ 55.7″,6.45,3.65,119.0,F5V,249 G. Cet,F5 V,6336.0 K,1.2 M☉,1.41 R☉,2.892 L☉,4.22 cgs,,1.598 Gyr,False
43 Cet,,43,132.0,,8335.0,6429.0,01h 22m 34.82s,−00° 26′ 58.7″,6.5,0.39,544.0,K0III:,,,,,,,,,,False
40 Cet,,40,122.0,,7727.0,5985.0,01h 16m 58.86s,−02° 16′ 43.7″,6.52,4.16,97.0,F8,,,,,,,,,,False
58 Cet,,58,192.0,,12020.0,9165.0,01h 57m 59.39s,−02° 03′ 34.2″,6.52,0.63,491.0,A0,,,,,,,,,,False
35 Cet,,35,115.0,,7218.0,5646.0,01h 12m 30.75s,+02° 28′ 18.6″,6.55,2.96,170.0,F8,,,,,,,,,,False
15 Cet,,15,60.0,,3512.0,2994.0,00h 38m 04.57s,−00° 30′ 12.6″,6.64,−0.11,731.0,K2III,,,,,,,,,,False
χ Cet B,χ,53,,EZ,11131.0,8486.0,01h 49m 23.36s,−10° 42′ 12.8″,6.74,4.91,74.94,G0,"EZ Ceti; component of the χ Cet system; BY Dra variable, ΔV = 0.05m, P = 8.92 d",F3 IIIor F0 V,6746.0 K,1.36 M☉,,5.6 L☉,4.53 cgs,3.34 km/s,1.2 Gyr,False
79 Cet,,79,267.0,,16141.0,12048.0,02h 35m 20.02s,−03° 33′ 34.3″,6.83,4.05,117.0,G5IV,has a planet (b),G2V,5806.0 K,1.01 M☉,1.48 R☉,1.99 L☉,4.19 cgs,1.9 km/s,9.4 Gyr,False
HD 12039,,,,DK,12039.0,9141.0,01h 57m 48.98s,−21° 54′ 05.3″,8.11,4.98,138.0,G4V,"DK Cet; BY Dra variable, ΔV = ~0.12m; has a debris disk",G4V,5585.0 K,1.02 M☉,1.0 R☉,0.89 L☉,4.39 cgs,15.2 km/s,8.0 Myr,False
58 Cet,,58,,,12021.0,9155.0,01h 57m 56.14s,−02° 05′ 57.7″,8.89,0.54,1523.0,A0,,,,,,,,,,False
YZ Cet,,,,YZ,,5643.0,01h 12m 30.64s,−16° 59′ 56.3″,12.07,14.25,11.74,M4.5V,"21st nearest star system; flare star, has three planets (b, c & d)",M4.0Ve,3056.0 K,0.13 M☉,0.168 R☉,0.002195 L☉,5.2 cgs,79.82 days,5.0 Gyr,False
UV Cet,,,,UV,,,01h 39m 01.54s,−17° 57′ 01.8″,12.54,15.40,8.73,M5.5Ve,"primary component of Luyten 726-8, the 6th nearest star system; prototype of UV Cet variables (flare stars), Vmax = 6.80m, Vmin = 12.95m",M5.5V,2784.0 K,0.122 M☉,0.165 R☉,0.00147 L☉,5.092 cgs,0.243 days,,False
BL Cet,,,,BL,,,01h 39m 01.54s,−17° 57′ 01.8″,12.99,15.85,8.73,M6.0Ve,secondary component of Luyten 726-8; flare star,M5.5V,2784.0 K,0.122 M☉,0.165 R☉,0.00147 L☉,5.092 cgs,0.243 days,,False
