Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
HD 698,,,V742,698.0,940.0,00h 11m 37.15s,+58° 12′ 42.6″,7.08,,3500.0,B7:Ib-IIe,Be star,,,,,,,,,False
V989 Cas,,,V989,13579.0,10531.0,02h 15m 42.56s,+67° 40′ 20.3″,7.13,,60.6,K2V,"BY Dra variable, ΔV = 0.03m, P = 6.79 d",,,,,,,,,False
V636 Cas,,,V636,9250.0,7192.0,01h 32m 43.23s,+63° 35′ 37.7″,7.19,,1640.0,G0Ib,"classical Cepheid, Vmax = 7.09m, Vmin = 7.26m, P = 8.38 d",,,,,,,,,False
TV Cas,,,TV,1486.0,1550.0,00h 19m 18.74s,+59° 08′ 20.6″,7.22,,516.0,B9V,"Algol variable, Vmax = 7.22m, Vmin = 8.22m, P = 1.81 d",,,,,,,,,False
V755 Cas,,,V755,3940.0,3367.0,00h 42m 50.06s,+64° 17′ 28.6″,7.29,,3700.0,A1Ia,"α Cyg variable, Vmax = 7.25m, Vmin = 7.31m, P = 5.67 d",,,,,,,,,False
RV Cas,,,RV,5016.0,,00h 52m 42.76s,+47° 24′ 56.1″,7.3,,,M5-6.5Se,"Mira variable, Vmax = 7.3m, Vmin = 16.1m, P = 332 d",,,,,,,,,False
Gliese 83.3,,,V598,12208.0,9481.0,02h 01m 59.06s,+61° 54′ 18.2″,7.52,,906.0,K5III,"slow irregular variable, Vmax = 7.38m, Vmin = 7.54m",,,,,,,,,False
HD 221568,,,V436,221568.0,116210.0,23h 32m 47.65s,+57° 54′ 20.1″,7.55,,709.0,A0p,"Osawa's Star; α2 CVn variable, Vmax = 7.55m, Vmin = 7.62m, P = 159 d",,,,,,,,,False
HD 19557,,,V623,19557.0,14827.0,03h 11m 25.33s,+57° 54′ 11.2″,7.57,,1590.0,"C4,5J","slow irregular variable, Vmax = 7.34m, Vmin = 7.96m",,,,,,,,,False
V487 Cas,,,V487,6474.0,5239.0,01h 06m 59.74s,+63° 46′ 23.4″,7.6,,,G4Ia,"UU Her variable, Vmax = 7.44m, Vmin = 7.74m, P = 99.6 d",,,,,,,,,False
HD 16429,,,V482,16429.0,12495.0,02h 40m 44.94s,+61° 16′ 56.1″,7.65,,,O9.5III+F4V,triple star; β Cep variable,,,,,,,,,False
WZ Cas,,,WZ,224855.0,99.0,00h 01m 15.85s,+60° 21′ 19.0″,7.7,,2860.0,"C9,2JLi","semiregular variable, Vmax = 6.8m, Vmin = 7.7m, P = 186 d",C-N7 III: C22 Li 10,3095.0 K,5.2 M☉,600.0 R☉,12400.0 L☉,1.55 cgs,,,False
HD 12288,,,V540,12288.0,9604.0,02h 03m 30.51s,+69° 34′ 56.4″,7.74,,1010.0,A2,"α2 CVn variable, Vmax = 7.73m, Vmin = 7.75m, P = 34.9 d",,,,,,,,,False
W Cas,,,W,5235.0,4284.0,00h 54m 53.85s,+58° 33′ 49.1″,7.8,,,"C9,1e","Mira variable, Vmax = 7.8m, Vmin = 12.5m, P = 406 d",,,,,,,,,False
S Cas,,,S,7769.0,,01h 19m 41.99s,+72° 36′ 40.8″,7.9,,,S3-5/4-8,"Mira variable, Vmax = 7.9m, Vmin = 16.1m, P = 612 d","S3,4 – S5,8",1800.0 K,4.1 M☉,930.0 R☉,5210.0 L☉,1.32 cgs,,,False
U Cas,,,U,4350.0,,00h 46m 21.37s,+48° 14′ 38.7″,8.0,,,S4.5-6/3-5e,"Mira variable, Vmax = 8m, Vmin = 15.7m, P = 277 d",,,,,,,,,False
V745 Cas,,,V745,1810.0,1805.0,00h 22m 53.32s,+62° 14′ 29.1″,8.11,,,B0V+B1.5III,β Lyr variable,,,,,,,,,False
